word,weight
chicken, 2615
order, 2494
good, 2434
ordered, 2235
time, 2120
Chinese, 1996
rice, 1982
never, 1539
again, 1479
bad, 1455
don't, 1420
said, 1372
after, 1319
over, 1303
sauce, 1298
fried, 1281
really, 1279
minutes, 1246
could, 1179
soup, 1155
asked, 1146
table, 1131
better, 1083
4, 1067
off, 1049
dish, 1020
told, 1003
people, 987
give, 984
taste, 979
down, 940
tasted, 929
before, 909
first, 893
beef, 867
took, 853
menu, 851
way, 834
noodles, 824
worst, 804
try, 796
meal, 796
still, 778
eating, 770
want, 762
should, 752
shrimp, 747
think, 735
lunch, 731
dishes, 718
experience, 709
egg, 683
wanted, 677
flavor, 670
money, 668
another, 664
bland, 646
last, 644
few, 636
right, 636
around, 632
quality, 630
horrible, 628
times, 625
called, 625
great, 615
same, 612
pork, 609
little, 600
waitress, 598
wait, 593
meat, 592
customer, 577
hot, 571
water, 569
pretty, 565
well, 564
see, 560
dinner, 547
long, 547
server, 543
star, 542
sure, 542
delivery, 534
buffet, 533
reviews, 520
terrible, 520
small, 515
cold, 515
old, 513
night, 512
used, 511
manager, 508
waiter, 507
decided, 502